model,rhat_max,rhat_lp,min_raters_p,min_votes_p,pi,log_lik,rater_sim_lt_data[1],rater_sim_lt_data[2],rater_sim_lt_data[3],rater_sim_lt_data[4],rater_sim_lt_data[5],votes_sim_lt_data[1],votes_sim_lt_data[2],votes_sim_lt_data[3],votes_sim_lt_data[4],votes_sim_lt_data[5],votes_sim_lt_data[6],rater_p[1],rater_p[2],rater_p[3],rater_p[4],rater_p[5],ratings_p[1],ratings_p[2],ratings_p[3],ratings_p[4],ratings_p[5],ratings_p[6]
full,1.01541,1.00203,0.0585,0.0025000000000000022,0.157417,-6798.8,0.117,0.4175,0.356,0.164,0.491,0.822,0.0255,0.9375,0.995,0.2125,0.008,0.0585,0.20875,0.178,0.082,0.2455,0.08900000000000002,0.01275,0.03125,0.0025000000000000022,0.10625,0.004
full_hierarchical,1.01567,1.00038,0.0625,0.0025000000000000022,0.161826,-6805.3,0.125,0.4415,0.384,0.1725,0.498,0.8225,0.0305,0.9165,0.995,0.225,0.017,0.0625,0.22075,0.192,0.08625,0.249,0.08875,0.01525,0.04175000000000001,0.0025000000000000022,0.1125,0.0085
